y1,y2,x1,x2,z1,z2
3.9584,2.2214,0.44547,0.75391,1.5697,2.0442
9.4183,3.0684,1.3443,3.1717,0.033093,2.2318
3.2171,3.1584,0.27914,2.0385,0.29148,4.662
11.053,5.5029,1.8867,2.801,0.91255,2.0895
6.0708,3.2533,0.59905,1.8997,0.82807,2.1989
6.4481,4.2773,0.99684,2.4816,1.8348,2.7711
2.9818,2.158,0.52837,0.72896,0.70528,1.327
4.7606,1.6818,0.24417,2.492,-0.060595,1.6685
8.8254,2.9793,0.74127,1.5265,1.3449,1.4292
11.342,6.6712,0.26811,1.6328,1.261,2.2143
6.1392,5.7024,0.5597,1.227,3.4865,2.5798
10.519,4.6648,0.69081,2.1286,2.3921,1.4432
7.1064,3.6265,0.58669,2.1678,1.5886,1.8721
10.414,7.8926,0.64941,1.9351,2.0716,4.4722
8.5677,4.508,0.93726,2.4076,0.75291,3.2633
3.3693,0.59739,1.357,1.6199,-0.7528,1.298
5.4064,3.5654,0.68696,1.2782,2.1187,1.8012
4.8068,1.1107,0.75806,1.4484,1.1281,0.55835
9.2042,5.06,0.73217,2.003,2.597,2.3729
7.0415,4.3714,0.58813,0.66471,2.0068,2.4066
9.2112,4.2189,1.2982,3.0226,1.8477,1.9735
3.4718,2.5152,0.99464,1.1695,0.65475,2.3294
9.6168,5.7863,1.0929,2.0203,1.8794,3.7061
9.0691,4.3412,0.57236,2.5252,0.60568,2.2873
8.6115,4.1122,2.4032,1.6072,1.2708,2.898
7.3402,3.9443,1.657,0.70426,0.93555,2.2884
5.526,1.791,1.498,1.5102,1.3248,0.85418
8.1513,5.7432,0.91583,1.7958,3.345,3.4008
7.5476,2.9912,1.2628,2.9998,0.85596,2.2425
4.0143,1.2622,0.95111,2.5883,0.59911,0.34273
10.769,5.6452,1.416,2.8197,2.3155,2.7174
2.1502,2.4731,0.42364,0.40058,0.3265,2.4623
0.35242,-0.099399,0.019802,1.5009,0.96485,0.08517
3.0702,-0.061944,1.8217,2.1199,-0.23395,1.1723
1.0907,2.5535,-0.28111,1.7626,1.3203,2.2092
12.384,5.4912,1.8247,3.6299,1.5149,2.8715
7.965,4.5178,0.91928,2.2027,1.5694,3.9341
3.3926,1.398,0.73938,2.0102,0.99598,2.0784
11.23,5.4454,1.6979,2.7164,1.6118,2.2687
1.5249,1.4292,0.46789,1.3394,0.50983,1.7989
4.8129,1.069,1.5519,2.2943,-0.72718,1.9862
3.4639,0.32506,1.6891,1.6912,0.44271,-0.32501
7.2177,3.5906,1.0397,2.2681,1.8021,1.7217
9.0567,6.5845,0.36463,1.7947,2.5039,3.7399
6.407,4.7244,1.1804,1.367,1.9197,2.8319
3.9811,1.1964,1.4142,1.4006,0.44275,2.1682
