y1,x1,x2,y2,z1,z2
-1.2369,0.49034,2.6832,-2.2055,-1.0216,0.7012
5.0678,0.86296,2.7211,1.0413,-0.3734,1.5789
6.9551,0.56288,2.4549,4.3891,1.8886,3.3382
6.049,1.266,1.4496,2.0197,-0.22111,1.7715
10.466,0.70209,3.4428,5.0565,2.3563,2.7419
5.7801,0.074391,1.2956,4.1929,0.47967,2.6288
1.8851,0.98976,1.0554,1.8623,1.2865,0.99975
10.864,1.3079,3.1914,7.3068,2.6095,4.0471
5.7028,0.89077,2.0133,2.1148,-0.17921,2.1955
2.9538,0.033188,1.3494,2.3695,0.81607,1.8286
4.8547,0.92971,0.97926,3.5751,1.3256,2.847
4.1616,0.51084,1.6752,2.4272,0.32909,1.3168
4.5938,1.3952,2.107,1.1576,1.7486,-0.5764
5.5177,0.42354,1.89,3.8795,2.1194,2.7924
5.9143,0.83077,2.2683,3.1215,1.062,1.8009
12.106,0.58052,2.5648,7.9087,3.9248,3.0821
5.3418,0.3718,1.7248,2.7018,-0.19202,2.9316
4.059,1.0699,2.2394,2.2508,0.95715,2.1745
6.6642,1.76,3.7483,1.3708,-0.30089,1.1226
3.8325,1.2842,1.1501,1.5947,-0.168,1.81
3.4928,1.176,3.0834,0.27472,1.3085,1.5707
8.6526,3.0976,4.3277,1.023,0.16469,0.38526
5.9073,1.3756,1.6285,2.3171,0.92138,1.45
8.734,1.0163,1.5119,5.0509,1.0088,3.4594
7.9067,0.97868,1.4923,3.5541,1.0981,1.2151
7.5797,1.8998,1.2679,5.3499,2.9986,3.5871
5.8584,0.89064,2.0667,3.3852,1.7618,0.89583
7.3015,1.3485,2.648,2.8732,0.71812,1.3551
8.2923,0.33445,2.8387,6.0296,1.6991,3.2889
8.5577,1.0462,1.1088,5.0077,1.5432,3.5106
4.9134,0.99873,1.5135,3.8038,1.7821,2.1291
5.7788,0.31813,1.8296,3.2622,0.83924,1.8732
5.1756,0.95099,2.7126,2.4631,0.70435,0.99223
6.0302,1.4064,1.5927,2.5533,0.34836,1.317
6.4301,1.547,2.6542,2.6196,0.52179,1.7661
9.4001,1.7066,2.823,3.8937,0.89493,0.96764
7.6399,1.3463,1.0845,4.9253,1.8936,3.5298
6.9865,1.0288,1.4661,3.6053,1.8624,1.2274
2.6502,1.4235,1.6419,0.86857,-0.92515,1.2045
7.4507,0.91547,1.769,4.4293,0.53371,3.2851
5.1041,0.59147,1.046,4.2633,2.1915,2.7751
3.1976,2.2109,1.2432,0.37035,-0.18702,0.78279
4.3488,1.8608,1.5829,1.821,1.2461,1.4499
7.0273,1.6796,2.5385,2.6023,1.2577,1.9771
4.0225,0.9307,1.8675,1.8119,1.1154,1.2228
5.8492,1.6172,2.0064,2.2101,0.29673,1.6564
6.7791,1.285,3.0878,2.8019,0.49922,2.0405
2.6023,1.6004,3.0759,-0.40724,0.4137,0.9184
5.0061,1.5133,2.663,-0.13622,-0.71354,1.1987
3.8293,-0.70574,1.058,4.841,2.0102,2.0645
11.417,1.624,2.7552,5.6825,2.6091,2.1658
7.0852,0.66759,2.1515,3.4513,1.9699,1.0857
5.1947,0.186,2.1665,2.0404,0.84091,1.2908
6.1997,1.0218,2.0383,2.4347,0.94538,2.3314
4.8113,0.86392,1.3533,1.4564,-0.40117,1.068
1.6126,0.26122,2.6642,0.1975,-0.1748,2.5101
7.3775,1.0437,2.2392,2.4655,-0.32201,1.2246
8.2021,1.5795,2.5215,3.4645,-0.012296,2.338
8.481,1.0294,3.4846,4.5061,0.87672,3.4094
3.8567,0.70822,1.0133,2.3106,-0.078515,1.5643
6.4784,0.6973,2.4115,3.0816,1.8159,3.0513
6.3516,0.37219,2.0346,4.9064,2.1358,3.3726
8.8772,1.1896,1.8613,5.4481,2.2912,4.748
-0.19412,0.54574,0.40486,0.63952,0.14527,1.4204
9.5435,1.5745,1.7935,5.4693,1.3885,3.301
5.0939,0.022736,0.59151,4.0745,0.60002,2.7199
6.497,0.78068,1.2546,4.0968,1.5436,2.7142
5.7263,2.1012,3.5067,0.23,0.07161,0.88315
3.1587,1.7305,2.1983,-0.12212,0.65844,0.98527
11.356,1.4713,3.1427,6.1847,2.7206,1.8326
0.62121,2.3721,2.6385,-0.55026,0.3703,1.9139
8.2201,1.4459,1.5735,4.4841,1.2336,3.8808
7.1776,0.81962,2.0937,4.977,0.68488,4.1761
6.9644,1.1718,2.7594,3.2937,1.0863,1.6306
1.3403,0.70385,1.6463,-0.47004,0.29933,1.6575
7.9882,1.3022,2.0953,2.1307,-0.39608,1.6488
5.807,2.593,3.0689,-0.13673,-0.20657,1.4038
5.6797,1.3561,3.932,1.1401,1.0804,2.1585
